epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,789.406,1.61741,1.95435,1.7244,0.36223,0.43604,0.3133,0.09236,2.33945,2.36841,2.41717,0.000665537,0.000665537,0.000665537
2,1547.86,1.61399,1.89372,1.74079,0.50868,0.48387,0.42007,0.11708,2.37196,2.13708,2.22292,0.00127945,0.00127945,0.00127945
3,2285.18,1.57563,1.84961,1.72008,0.48799,0.50723,0.44366,0.15377,2.13563,2.14224,2.08518,0.00184056,0.00184056,0.00184056
4,2962.32,1.54359,1.81273,1.69792,0.51474,0.53096,0.49672,0.16792,2.20974,1.92866,2.1133,0.0017624,0.0017624,0.0017624
5,3553.61,1.49645,1.75665,1.66886,0.60989,0.58952,0.61687,0.22532,2.07952,1.69984,1.93192,0.0016832,0.0016832,0.0016832
6,4076.69,1.4595,1.68986,1.63431,0.46461,0.58065,0.4766,0.15998,2.21913,2.07474,2.13018,0.001604,0.001604,0.001604
7,4660.99,1.43743,1.63997,1.61818,0.67568,0.69522,0.71504,0.31126,1.87217,1.37189,1.7314,0.0015248,0.0015248,0.0015248
8,5151.31,1.40282,1.59452,1.59358,0.65798,0.66296,0.68265,0.27009,2.03874,1.4422,1.96182,0.0014456,0.0014456,0.0014456
9,5623.95,1.39504,1.56224,1.58733,0.70706,0.66048,0.71962,0.313,1.91146,1.33599,1.79978,0.0013664,0.0013664,0.0013664
10,6098.39,1.38227,1.54362,1.57851,0.74347,0.72215,0.77529,0.37612,1.74752,1.22945,1.66772,0.0012872,0.0012872,0.0012872
11,6564.02,1.35666,1.49883,1.55878,0.73405,0.74604,0.77219,0.36157,1.80355,1.2009,1.6733,0.001208,0.001208,0.001208
12,7058.04,1.3407,1.4784,1.54693,0.77212,0.73415,0.79968,0.38324,1.76572,1.15114,1.66605,0.0011288,0.0011288,0.0011288
13,7545.26,1.33529,1.45692,1.54393,0.7573,0.74622,0.79108,0.38105,1.75546,1.1454,1.62419,0.0010496,0.0010496,0.0010496
14,8035.24,1.32364,1.44721,1.53254,0.7799,0.75528,0.80324,0.38949,1.73334,1.10168,1.64021,0.0009704,0.0009704,0.0009704
15,8536.13,1.30868,1.41302,1.52092,0.74713,0.75528,0.7936,0.40587,1.68184,1.08459,1.58773,0.0008912,0.0008912,0.0008912
16,9010.81,1.17967,1.03618,1.44315,0.77634,0.76837,0.81043,0.40978,1.69837,1.11247,1.6061,0.000812,0.000812,0.000812
17,9470.87,1.13088,0.95938,1.41024,0.76739,0.75961,0.8081,0.45719,1.46632,1.03678,1.47414,0.0007328,0.0007328,0.0007328
18,9926.87,1.11403,0.90775,1.40645,0.7879,0.79978,0.82795,0.4403,1.59802,0.98928,1.55707,0.0006536,0.0006536,0.0006536
19,10379.5,1.09877,0.88272,1.39059,0.8077,0.79867,0.85063,0.46351,1.54593,0.98771,1.49901,0.0005744,0.0005744,0.0005744
20,10830.9,1.07788,0.84428,1.37059,0.81552,0.77204,0.84156,0.47053,1.50367,0.97446,1.465,0.0004952,0.0004952,0.0004952
21,11281.1,1.05167,0.79505,1.34668,0.81548,0.80645,0.8537,0.47737,1.52245,0.92569,1.46427,0.000416,0.000416,0.000416
22,11739.1,1.03424,0.77149,1.32786,0.83752,0.7798,0.86716,0.50036,1.47122,0.91374,1.42966,0.0003368,0.0003368,0.0003368
23,12208.1,1.01271,0.74417,1.31685,0.79436,0.8198,0.86186,0.48559,1.49419,0.92081,1.44733,0.0002576,0.0002576,0.0002576
24,12674.1,1.00353,0.71134,1.30433,0.81978,0.79755,0.86572,0.48439,1.52175,0.90896,1.45591,0.0001784,0.0001784,0.0001784
25,13130.6,0.97833,0.68957,1.29096,0.80836,0.8109,0.87129,0.50233,1.4623,0.88686,1.42683,9.92e-05,9.92e-05,9.92e-05
